,Year,Inflation rate compared to previous year
0,2025*,8.99%
1,2024*,9.22%
2,2023*,10.89%
3,2022*,14.21%
4,2021*,51.01%
5,2020*,49.77%
6,2019,4.39%
7,2018,6.94%
8,2017,22.02%
9,2016,55.5%
10,2015,6.9%
11,2014,3.38%
12,2013,1.92%
13,2012,5.01%
14,2011,17.68%
15,2010,6.95%
16,2009,-0.3%
17,2008,14.67%
18,2007,6.43%
19,2006,11.28%
20,2005,13.98%
21,2004,9.13%
22,2003,23%
23,2002,15.52%
24,2001,34.37%
25,2000,29.56%
26,1999,60.53%
27,1998,11.25%
28,1997,6.08%
29,1996,2.84%
30,1995,24.16%
31,1994,142.84%
32,1993,79.26%
33,1992,21.31%
34,1991,10.49%
35,1990,21.77%
36,1989,0.76%
37,1988,7.34%
38,1987,53.42%
39,1986,18.66%
40,1985,10.85%
