,Year,Inflation rate compared to previous year
0,2025*,3.5%
1,2024*,3.5%
2,2023*,3.5%
3,2022*,3.56%
4,2021*,4.12%
5,2020*,1.66%
6,2019,1.84%
7,2018,2.27%
8,2017,2.82%
9,2016,3.63%
10,2015,4.06%
11,2014,5.77%
12,2013,5.74%
13,2012,4.52%
14,2011,9.88%
15,2010,2.5%
16,2009,3.35%
17,2008,14.01%
18,2007,6.66%
19,2006,4.3%
20,2005,5.4%
21,2004,4.44%
22,2003,3.34%
23,2002,0.92%
24,2001,1.6%
25,2000,4.6%
26,1999,2.16%
27,1998,7.67%
28,1997,4.71%
29,1996,12.43%
30,1995,10.19%
31,1994,7.88%
32,1993,8.53%
33,1992,12.96%
34,1991,21.44%
35,1990,17.12%
36,1989,15.17%
37,1988,16%
38,1987,14.58%
39,1986,273.35%
40,1985,"11,749.63%"
