,Year,GDP in billion international dollars
0,2021*,3046.13
1,2020*,2860.02
2,2019*,3061.82
3,2018,2970.43
4,2017,2850.61
5,2016,2736.08
6,2015,2678.69
7,2014,2621.19
8,2013,2549.89
9,2012,2491.56
10,2011,2437.04
11,2010,2335.95
12,2009,2264.9
13,2008,2314.25
14,2007,2264.33
15,2006,2152.89
16,2005,2039.69
17,2004,1945.72
18,2003,1842.57
19,2002,1794.21
20,2001,1746.43
21,2000,1675.71
22,1999,1577.19
23,1998,1503.3
24,1997,1435.07
25,1996,1378.54
26,1995,1334.89
27,1994,1280.5
28,1993,1224.84
29,1992,1204.06
30,1991,1158.7
31,1990,1109.17
32,1989,1038.78
33,1988,957.98
34,1987,883.44
35,1986,840.58
36,1985,805.18
37,1984,768.03
