,Year,Gross domestic product in billion U.S. dollars
0,2024*,505.16
1,2023*,470.16
2,2022*,438.68
3,2021*,409.53
4,2020*,381.52
5,2019*,365.3
6,2018,358.58
7,2017,318.96
8,2016,301.26
9,2015,301.36
10,2014,342.87
11,2013,323.28
12,2012,314.44
13,2011,297.96
14,2010,255.02
15,2009,208.91
16,2008,238.65
17,2007,199.96
18,2006,168.08
19,2005,148.25
20,2004,133.97
21,2003,118.34
22,2002,108.3
23,2001,99.64
24,2000,100.72
25,1999,85.0
26,1998,77.51
27,1997,107.57
28,1996,108.3
29,1995,95.4
30,1994,79.99
31,1993,71.84
32,1992,63.52
33,1991,52.77
34,1990,46.58
35,1989,41.1
36,1988,37.32
37,1987,34.05
38,1986,29.88
39,1985,33.61
40,1984,36.57
