,Year,GDP per capita in euros
0,2018,44920
1,2017,43088
2,2016,41593
3,2015,40733
4,2014,39820
5,2013,39303
6,2012,38971
7,2011,38960
8,2010,38470
9,2009,37800
10,2008,39354
11,2007,37796
12,2006,35761
13,2005,33755
14,2004,32508
15,2003,31606
16,2002,31032
17,2001,30031
18,2000,28383
19,1999,26528
20,1998,25103
21,1997,23641
22,1996,22190
23,1995,21317
24,1994,20355
25,1993,19488
26,1992,19075
27,1991,18438
28,1990,17593
29,1989,16742
30,1988,15915
31,1987,15359
32,1986,15325
33,1985,14961
34,1984,14527
35,1983,13832
36,1982,13417
37,1981,13045
38,1980,12443
39,1979,11651
40,1978,10976
41,1977,10209
42,1976,9509
43,1975,8418
44,1974,7857
45,1973,6781
46,1972,5978
47,1971,5392
48,1970,4808
49,1969,4342
50,1968,3590
51,1967,3271
52,1966,3016
53,1965,2806
54,1964,2533
55,1963,2182
56,1962,2038
57,1961,1920
58,1960,1843
