,Country,Inhabitants per square kilometer
0,Barbados,666.61
1,Haiti,403.6
2,Puerto Rico,360.22
3,Grenada,327.81
4,El Salvador,309.88
5,Saint Lucia,298.18
6,Saint Vincent and the Grenadines,282.59
7,Jamaica,270.99
8,Trinidad and Tobago,270.93
9,Dominican Republic,219.98
10,Antigua and Barbuda,218.83
11,Saint Kitts and Nevis,201.7
12,Guatemala,160.95
13,Cuba,109.0
14,Costa Rica,97.91
15,Dominica,95.5
16,Honduras,85.69
17,Ecuador,68.79
18,Mexico,64.91
19,Panama,56.19
20,Nicaragua,53.73
21,Colombia,44.75
22,Bahamas,38.53
23,Venezuela,32.73
24,Regional average,31.01
25,Chile,25.19
26,Brazil,25.06
27,Peru,24.99
28,Uruguay,19.71
29,Paraguay,17.51
30,Belize,16.79
31,Argentina,16.26
32,Bolivia,10.48
33,Guyana,3.96
34,Suriname,3.69
