,payment method,Revenue in million NOK
0,Total revenue,1446478
1,Sales revenue,25874
2,Operating surplus extraction of petroleum,87200
3,Depreciation etc. extraction of petroleum,22900
4,Depreciation etc. other central government enterprises,2785
5,Other revenue from fixed capital formation,667
6,Total transfers,1307052
7,Tax revenue,865580
8,Members' contributions National Insurance Scheme,156500
9,Employers' contributions National Insurance Scheme,202600
10,Interest and dividends,59174
11,Transfers from other state accounts,102
12,Transfers from municipalities and county authorities,1486
13,Transfers from the central bank,13900
14,Other transfers,7710
