,Response,Share of college graduates
0,"Boulder, CO",64.8%
1,"Corvallis, OR",57.9%
2,"Ithaca, NY",56.9%
3,"Ann Arbor, MI",55.9%
4,"San Jose-Sunnyvale-Santa Clara, CA",52.7%
5,"San Francisco-Oakland-Berkeley, CA",51.4%
6,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51.4%
7,"Boston-Cambridge-Newton, MA-NH",49.3%
8,"Charlottesville, VA",49.2%
9,"Bridgeport-Stamford-Norwalk, CT",49.1%
10,"Fort Collins, CO",49%
11,"Iowa City, IA",48.8%
12,"Madison, WI",48.6%
13,"Raleigh-Cary, NC",48%
14,"Barnstable Town, MA",47.1%
15,"Lawrence, KS",47.1%
16,"Durham-Chapel Hill, NC",46.3%
17,"Austin-Round Rock-Georgetown, TX",46.2%
18,"Bloomington, IL",45.8%
19,"Denver-Aurora-Lakewood, CO",45.8%
20,"Ames, IA",44.6%
21,"Burlington-South Burlington, VT",44.6%
22,"Champaign-Urbana, IL",44.5%
23,"Trenton-Princeton, NJ",44.5%
24,"Missoula, MT",44.4%
25,"Seattle-Tacoma-Bellevue, WA",44.1%
26,"Columbia, MO",44%
27,"Santa Cruz-Watsonville, CA",43.8%
28,"State College, PA",43.8%
29,"Minneapolis-St. Paul-Bloomington, MN-WI",43.2%
30,"Athens-Clarke County, GA",42.4%
31,"Portland-South Portland, ME",42.3%
32,"Baltimore-Columbia-Towson, MD",41.9%
33,"New York-Newark-Jersey City, NY-NJ-PA",41.8%
34,"Auburn-Opelika, AL",41.4%
35,"Rochester, MN",41.2%
36,"Bloomington, IN",41%
37,"Provo-Orem, UT",40.6%
38,"Fargo, ND-MN",40.4%
39,"Portland-Vancouver-Hillsboro, OR-WA",40.3%
40,"Huntsville, AL",40.2%
41,"Santa Fe, NM",40.1%
42,"Atlanta-Sandy Springs-Alpharetta, GA",39.9%
43,"San Diego-Chula Vista-Carlsbad, CA",39.9%
44,"Hartford-East Hartford-Middletown, CT",39.7%
45,"Lincoln, NE",39.7%
46,"Flagstaff, AZ",39.6%
47,"Albany-Schenectady-Troy, NY",39.5%
48,"Wilmington, NC",39.3%
49,"Chicago-Naperville-Elgin, IL-IN-WI",39.2%
