,Response,Share of respondents
0,Needed service is not offered online,45%
1,Purchase of additional hardware,44%
2,Unclear structure of the online offers - you do not find what you are looking  for,43%
3,"Lack of continuity, i.e. it is not possible finish offers online completely",42%
4,Many online offers are not known,41%
5,Lack of help by the authorities,41%
6,Complicated procedure,36%
7,concerns with respect to data protection,36%
8,complicated registration procedure,35%
9,Unpersonal online procedure,26%
