,Leading companies in information services industry ,Turnover in million SEK
0,Spotify AB,33833
1,Pinnacle Sweden AB,2641
2,Evry AB,1471
3,Eniro AB,1393
4,Goodle Sweden AB,1114
5,TT Nyhetsbyrån AB,681
6,Storytel Sweden AB,596
7,Posti Messaging AB,388
8,Avanade Sweden AB,382
9,Refinitiv Sweden AB,366
10,Prisjakt Sverige AB,264
11,Digital New Agency Group AB,262
12,Interroute Managed Services Sweden AB,260
13,Professional Wireless Sverige AB,232
14,EMG - Education Media Group AB,206
15,Iron Mountain Sweden AB,192
16,K.G.M. Datadistribution AB,185
17,BTJ Sverige AB,185
18,Loopia AB,149
19,Enfo Pointer AB,145
