,Year,Gross domestic product in billion U.S. dollars
0,2024*,440.83
1,2023*,420.04
2,2022*,401.19
3,2021*,383.83
4,2020*,369.63
5,2019*,362.82
6,2018,364.14
7,2017,338.4
8,2016,318.06
9,2015,308.0
10,2014,314.86
11,2013,305.16
12,2012,291.61
13,2011,276.62
14,2010,236.42
15,2009,192.41
16,2008,192.23
17,2007,179.98
18,2006,147.79
19,2005,127.42
20,2004,114.19
21,2003,97.0
22,2002,91.94
23,2001,89.29
24,2000,95.84
25,1999,86.29
26,1998,85.71
27,1997,100.16
28,1996,96.4
29,1995,87.89
30,1994,73.78
31,1993,60.65
32,1992,52.16
33,1991,45.47
34,1990,38.9
35,1989,31.39
36,1988,26.52
37,1987,21.61
38,1986,18.76
39,1985,18.56
40,1984,19.55
