,"Date, Location",Damage in million U.S. dollars
0,"January 17, 1994, Los Angeles",30000
1,"October 18, 1989, San Francisco",5600
2,"February 28, 2001, Seattle",2000
3,"March 28, 1964, Prince William Sound",1020
4,"August 24, 2014, San Francisco, California",700
5,"February 9, 1971, Los Angeles",535
6,"April 18, 1906, San Francisco",524
7,"October 1, 1987, Los Angeles",213
8,"December 22, 2003, San Robbles (California)",200
9,"October 15, 2006, Hawai Island",150
10,"June 28, 1992, Landers California",100
11,"April 22, 1992, South California",100
