,Charity,Revenue in billion U.S. dollars
0,Lutheran Services in America,22.62
1,Mayo Clinic,13.03
2,New York-Presbyterian Hospital,9.67
3,Mount Sinai Health Systems,7.85
4,YMCA of the USA,7.74
5,Goodwill Industries International,6.1
6,Cedars-Sinai Medical Center,5.41
7,Memorial Sloan Kettering Cancer Center,5.12
8,The Arc,4.6
9,Catholic Charities USA,4.45
10,Salvation Army,3.86
11,United Way Worldwide,3.66
12,American National Red Cross,3.59
13,Feeding America,2.83
14,Task Force for Global Health,2.64
15,City of Hope,2.43
16,St. Jude Children's Research Hospital,2.32
17,Habitat for Humanity International,2.25
18,Boys & Girls Clubs of America,2.2
19,Easter Seals,2.17
