,Food Component,Answered yes
0,Whole grains,67%
1,Calories,66%
2,Sugars in general,66%
3,Sodium/Salt,63%
4,Fiber,63%
5,Protein,62%
6,Added sugars,61%
7,Trans fats,58%
8,Fats/oils,58%
9,Saturated fats,57%
10,Low-calorie sweeteners in general,57%
11,High-fructose corn syrup,54%
12,Cholesterol,53%
13,Caffeine,51%
14,Calcium,51%
15,Preservatives,46%
16,Mono- and poly-unsaturated fats,44%
17,Aspartame,43%
18,Fructose,41%
19,Monosodium glutamate (MSG),40%
20,Omega-3 fats,38%
21,Saccharin,37%
22,Glucose,36%
23,Sucrose,36%
24,Potassium,35%
25,Complex carbohydrates,34%
26,Refined carbohydrates,34%
27,Sucralose,30%
28,Probiotics,30%
29,Stevia,30%
30,Soy,28%
31,Lactose,28%
32,Gluten,28%
33,Food colors,26%
34,Omega-6 fats,23%
35,Omega-9 fats,20%
36,Acesulfame potassium,17%
37,Flavonoids,15%
38,Steviol glycosides,14%
39,Erythritol,13%
40,Monk fruit,8%
