,Year,GDP per capita in U.S. dollars
0,2024*,20572.77
1,2023*,19289.98
2,2022*,18107.91
3,2021*,17021.1
4,2020*,15988.04
5,2019*,14901.55
6,2018,15425.68
7,2017,13871.68
8,2016,12427.65
9,2015,12565.74
10,2014,14342.83
11,2013,13777.3
12,2012,13158.07
13,2011,13886.83
14,2010,12601.92
15,2009,11541.35
16,2008,14004.76
17,2007,11264.72
18,2006,9035.26
19,2005,8019.77
20,2004,6684.46
21,2003,5691.34
22,2002,5195.28
23,2001,4978.05
24,2000,4476.25
25,1999,4339.6
26,1998,4450.33
27,1997,4067.96
28,1996,4058.18
29,1995,3605.16
30,1994,2687.41
31,1993,2347.12
32,1992,2311.09
33,1991,2101.35
34,1990,1625.84
35,1989,1768.61
36,1988,1815.82
37,1987,1687.8
38,1986,1961.68
39,1985,1896.08
40,1984,2038.03
