,Basketball team,Concession stand price in U.S. dollars
0,New York Knicks (21),10.5
1,Phoenix Suns (24),10.25
2,Detroit Pistons (24),9.5
3,Minnesota Timberwolves (20),9.5
4,Atlanta Hawks (24),9.0
5,Brooklyn Nets (16),8.5
6,Los Angeles Lakers (20),8.5
7,Boston Celtics (16),8.5
8,Philadelphia 76ers (20),8.5
9,Los Angeles Clippers (18),8.25
10,Miami Heat (24),8.0
11,Washington Wizards (20),8.0
12,Chicago Bulls (16),8.0
13,Utah Jazz (20),7.5
14,Memphis Grizzlies (16),7.5
15,Indiana Pacers (20),7.5
16,NBA League Average,7.5
17,Toronto Raptors (16),7.27
18,Houston Rockets (16),7.25
19,Golden State Warriors (12),7.0
20,New Orleans Pelicans (20),7.0
21,Sacramento Kings (20),7.0
22,Portland Trail Blazers (16),7.0
23,Denver Nuggets (12),6.75
24,Milwaukee Bucks (16),6.5
25,Charlotte Hornets (16),6.5
26,Orlando Magic (16),5.75
27,San Antonio Spurs (16),5.5
28,Dallas Mavericks (12),5.0
29,Oklahoma City Thunder (16),5.0
30,Cleveland Cavaliers (12),4.0
