,Company,Turnover in million SEK
0,Husqvarna AB,41085
1,Liljedahl Group AB,12308
2,ITAB Shop Concept AB,6031
3,"Fagerhult, AB",5621
4,Nefab Holding AB,4472
5,Holmgren Group AB,3818
6,Bufab AB (publ),3786
7,OBOS Sverige AB,3641
8,Herenco AB,3537
9,OEM International AB,3112
10,Sydved AB,3016
11,Jönköpings Rådhus AB,2771
12,Atteviks Bil AB,2766
13,Kabe Group AB,2752
14,Hydro Extrusion Sweden AB,2506
15,Weland Holding AB,2123
16,XANO Industri AB,2044
17,Skobes Bil AB,1933
18,Sandahlsbolagen Sweden AB,1824
19,DS Smith Packaging Sweden AB,1694
