,Quarter,Revenue in million euros
0,Q1 '20,244
1,Q4 '19,348
2,Q3 '19,323
3,Q2 '19,324
4,Q1 '19,300
5,Q4 '18,367
6,Q3 '18**,0
7,Q2 '18**,0
8,Q1' 18,330
9,Q4' 17,402
10,Q3' 17,362
11,Q2' 17,358
12,Q1 '17,337
13,Q4 '16,417
14,Q3 '16,332
15,Q2 '16,332
16,Q1 '16,344
17,Q4 '15,437
18,Q3 '15,411
19,Q2 '15,421
20,Q1 '15,402
21,Q4 '14,496
22,Q3 '14,450
23,Q2 '14,457
24,Q1 '14*,459
25,Q4 '13,605
26,Q3 '13,532
27,Q2 '13,578
28,Q1 '13,586
29,Q4 '12,803
30,Q3 '12,677
31,Q2 '12,686
32,Q1 '12,535
33,Q4 '11,766
34,Q3 '11,633
35,Q2 '11,636
36,Q1 '11,587
37,Q4 '10,747
38,Q3 '10,617
39,Q2 '10,625
40,Q1 '10,569
41,Q4 '09,773
42,Q3 '09,602
43,Q2 '09,613
44,Q1 '09,534
45,Q4 '08,786
46,Q3 '08,594
47,Q2 '08,654
48,Q1 '08,573
49,Q4 '07,821
50,Q3 '07,644
51,Q2 '07,657
52,Q1 '07,526
53,Q4 '06,790
54,Q3 '06,586
