,Year,Gross domestic product in billion U.S. dollars
0,2024*,146.18
1,2023*,135.36
2,2022*,125.26
3,2021*,114.68
4,2020*,103.61
5,2019*,91.17
6,2018,80.29
7,2017,75.75
8,2016,70.89
9,2015,63.08
10,2014,54.17
11,2013,46.54
12,2012,42.22
13,2011,31.96
14,2010,29.92
15,2009,32.46
16,2008,26.84
17,2007,19.7
18,2006,15.28
19,2005,12.41
20,2004,10.14
21,2003,8.62
22,2002,7.85
23,2001,8.22
24,2000,8.24
25,1999,7.93
26,1998,8.08
27,1997,8.91
28,1996,8.83
29,1995,8.43
30,1994,8.14
31,1993,9.14
32,1992,14.7
33,1991,13.93
34,1990,12.6
35,1989,11.87
36,1988,11.29
37,1987,10.89
38,1986,10.19
39,1985,9.81
40,1984,8.38
