,Country,Active mobile social media penetration
0,Malta,98%
1,Iceland,97%
2,Gibraltar,98%
3,The Faeroe Islands,96%
4,Andorra,98%
5,Norway,98%
6,Sweden,72%
7,Denmark,97%
8,Jersey,98%
9,United Kingdom (UK),98%
10,Ireland,99%
11,Netherlands,97%
12,Portugal,97%
13,Luxembourg,98%
14,Belgium,96%
15,Spain,98%
16,Italy,98%
17,Kosovo,99%
18,Montenegro,98%
19,The Isle of Man,97%
20,Albania,99%
21,France,97%
22,Guernsey,97%
23,Hungary,94%
24,Macedonia,97%
25,Lithuania,97%
26,Switzerland,98%
27,Finland,97%
28,Romania,98%
29,Estonia,95%
30,Bulgaria,96%
31,Austria,97%
32,Monaco,97%
33,Greece,96%
34,Slovenia,96%
35,Croatia,97%
36,Bosnia & Herzegovina,97%
37,Slovakia,96%
38,Czechia,95%
39,Germany,97%
40,Liechtenstein,97%
41,Latvia,95%
42,Belarus,92%
43,Poland,97%
44,Serbia,96%
45,Russia,90%
46,Ukraine,97%
47,San Marino,97%
48,Moldova,97%
49,Cyprus,98%
