,Month,Market cap in billion U.S. dollars
0,"Jan 11, 2021",661.46
1,"Jan 10, 2021",713.3
2,Jan 09. 2021,748.56
3,"Jan 08, 2021",758.63
4,"Jan 07, 2021",732.06
5,"Jan 06, 2021",684.67
6,"Jan 05, 2021",631.98
7,"Jan 04, 2021",594.38
8,"Jan 03, 2021",609.41
9,"Jan 02, 2021",597.21
10,"Jan 01, 2021",546.0
11,Dec 2020,539.05
12,Nov 2020,364.23
13,Oct 2020,255.37
14,Sep 2020,199.56
15,Aug 2020,215.82
16,Jul 2020,208.9
17,Jun 2020,168.32
18,May 2020,174.0
19,Apr 2020,158.92
20,Mar 2020,117.81
21,Feb 2020,156.9
22,Jan 2020,170.11
23,Dec 2019,130.45
24,Nov 2019,136.83
25,Oct 2019,165.8
26,Sep 2019,149.01
27,Aug 2019,172.47
28,Jul 2019,180.03
29,Jun 2019,192.44
30,May 2019,152.06
31,Apr 2019,94.57
32,Mar 2019,72.34
33,Feb 2019,67.7
34,Jan 2019,60.55
35,Dec 2018,65.33
36,Nov 2018,69.9
37,Oct 2018,109.63
38,Sep 2018,114.61
39,Aug 2018,121.35
40,Jul 2018,133.69
41,Jun 2018,109.67
42,May 2018,127.9
43,Apr 2018,157.16
44,Mar 2018,118.2
45,Feb 2018,175.64
46,Jan 2018,172.1
47,Dec 2017,237.47
48,Nov 2017,171.02
49,Oct 2017,107.74
50,Sep 2017,72.01
51,Aug 2017,77.78
52,Jul 2017,47.39
53,Jun 2017,40.74
54,May 2017,37.41
55,Apr 2017,21.98
56,Mar 2017,17.41
57,Feb 2017,19.1
58,Jan 2017,15.66
59,Dec 2016,15.49
60,Nov 2016,11.94
61,Oct 2016,11.18
62,Sep 2016,9.69
63,Aug 2016,9.12
64,Jul 2016,9.86
65,Jun 2016,10.58
66,May 2016,8.29
67,Apr 2016,6.94
68,Mar 2016,6.41
69,Feb 2016,6.68
70,Jan 2016,5.59
71,Dec 2015,6.47
72,Nov 2015,5.62
73,Oct 2015,4.65
74,Sep 2015,3.46
75,Aug 2015,3.35
76,Jul 2015,4.11
77,Jun 2015,3.77
78,May 2015,3.27
79,Apr 2015,3.33
80,Mar 2015,3.42
81,Feb 2015,3.53
82,Jan 2015,3.0
83,Dec 2014,4.38
84,Nov 2014,5.13
85,Oct 2014,4.55
86,Sep 2014,5.16
87,Aug 2014,6.31
88,Jul 2014,7.67
89,Jun 2014,8.3
90,May 2014,8.01
91,Apr 2014,5.69
92,Mar 2014,5.75
93,Feb 2014,6.84
94,Jan 2014,10.24
95,Dec 2013,9.19
96,Nov 2013,13.62
97,Oct 2013,2.43
98,Sep 2013,1.57
99,Aug 2013,1.57
100,Jul 2013,1.22
101,Jun 2013,1.1
102,May 2013,1.45
103,Apr 2013,1.54
