,Response,Share of respondents
0,"Clothes (including sports clothing), shoes and accessories",55%
1,"Deliveries from restaurants, fast-food chains or catering services",32%
2,"Printed books, magazines or newspapers",29%
3,"Furniture, home accessories or gardening products",28%
4,"Computers, tablets, mobile phones or accessories",24%
5,Children's toys or childcare items,22%
6,"Cosmetics, beauty or wellness products",22%
7,Cleaning products or personal hygiene products,18%
8,"Consumer electronics, for example TVs, stereos, cameras or household appliances",18%
9,Sports goods (excluding sports clothing),17%
10,"Food or beverages from stores, or from meal-kit providers",13%
11,Medicine or dietary supplements such as vitamins,13%
12,Physical copies of films or series,13%
13,Physical copies of music,12%
14,"Bicycles, mopeds, cars, or other vehicles or their spare parts",8%
