,Industry,Real value added in billion chained (2012) U.S. dollars
0,Manufacturing,56.01
1,"Finance, insurance, real estate, rental, and leasing",32.49
2,Government and government enterprises,24.75
3,"Educational services, health care, and social assistance",19.91
4,Professional and business services,19.63
5,"Mining, quarrying, and oil and gas extraction",17.22
6,Retail trade,15.99
7,Wholesale trade,11.82
8,Construction,9.79
9,"Arts, entertainment, recreation, accommodation, and food services",9.21
10,Transportation and warehousing,7.47
11,Information,5.72
12,Utilities,4.48
13,"Agriculture, forestry, fishing, and hunting",2.12
