,Year,Fertility rate
0,2020,1.78
1,2015,1.88
2,2010,2.06
3,2005,2.04
4,2000,2.0
5,1995,2.03
6,1990,1.91
7,1985,1.8
8,1980,1.77
9,1975,2.03
10,1970,2.54
11,1965,3.23
12,1960,3.58
13,1955,3.31
14,1950,3.01
15,1945,2.42
16,1940,2.06
17,1935,2.17
18,1930,2.69
19,1925,3.13
20,1920,3.29
21,1915,3.53
22,1910,3.64
23,1905,3.81
24,1900,3.94
25,1895,4.17
26,1890,4.39
27,1885,4.61
28,1880,4.8
29,1875,4.94
30,1870,5.07
31,1865,5.2
32,1860,5.37
33,1855,5.6
34,1850,5.82
35,1845,6.05
36,1840,6.22
37,1835,6.32
38,1830,6.42
39,1825,6.52
40,1820,6.63
41,1815,6.74
42,1810,6.85
43,1805,6.96
44,1800,7.03
