,Year,Inflation rate compared to previous year
0,2024*,5%
1,2023*,5%
2,2022*,6%
3,2021*,8.31%
4,2020*,13%
5,2019*,7.34%
6,2018,3.93%
7,2017,4.15%
8,2016,2.86%
9,2015,4.53%
10,2014,8.62%
11,2013,7.36%
12,2012,11.01%
13,2011,13.66%
14,2010,10.1%
15,2009,19.56%
16,2008,12%
17,2007,7.77%
18,2006,7.92%
19,2005,9.28%
20,2004,4.57%
21,2003,3.1%
22,2002,3.54%
23,2001,4.41%
24,2000,3.59%
25,1999,5.74%
26,1998,7.81%
27,1997,11.81%
28,1996,10.78%
29,1995,13.02%
30,1994,11.27%
31,1993,9.83%
32,1992,4.85%
33,1991,12.63%
34,1990,9.05%
35,1989,7.88%
36,1988,8.84%
37,1987,4.69%
38,1986,3.47%
39,1985,5.56%
40,1984,6.06%
