,Month,Number of viewers in thousands
0,November 2020,84.53
1,October 2020,78.67
2,September 2020,74.37
3,August 2020,64.76
4,July 2020,56.42
5,June 2020,105.54
6,May 2020,103.44
7,April 2020,120.64
8,March 2020,89.99
9,February 2020,71.63
10,January 2020,45.52
11,December 2019,54.37
12,November 2019,49.5
13,October 2019,60.35
14,September 2019,63.8
15,August 2019,62.02
16,July 2019,54.73
17,June 2019,41.94
18,May 2019,39.94
19,April 2019,42.75
20,March 2019,47.71
21,February 2019,70.48
22,January 2019,41.33
23,December 2018,34.33
24,November 2018,37.68
25,October 2018,32.47
26,September 2018,98.26
27,August 2018,29.13
28,July 2018,36.02
29,June 2018,30.44
30,May 2018,35.52
31,April 2018,31.92
32,March 2018,37.77
33,February 2018,55.53
34,January 2018,93.47
