,Metropolitan area,Percentage of households
0,"Bridgeport-Stamford-Norwalk, CT",17.9%
1,"San Jose-Sunnyvale-Santa Clara, CA",15.9%
2,"Washington-Arlington-Alexandria, DC-VA-MD-WV",14.1%
3,"San Francisco-Oakland-Fremont, CA",13%
4,"Trenton-Ewing, NJ",11.6%
5,"New York-Northern New Jersey-Long Island, NY-NJ-PA",10%
6,"Oxnard-Thousand Oaks-Ventura, CA",9.7%
7,"Boston-Cambridge-Quincy, MA-NH",9.7%
8,"Boulder, CO",9.4%
9,"Napa, CA",9.3%
10,"Santa Cruz-Watsonville, CA",9%
11,"Naples-Marco Island, FL",8.8%
12,"Baltimore-Towson, MD",8%
13,"Midland, TX",7.9%
14,"Los Angeles-Long Beach-Santa Ana, CA",7.9%
15,"Santa Barbara-Santa Maria-Goleta, CA",7.4%
16,"Hartford-West Hartford-East Hartford, CT",7.4%
17,"San Diego-Carlsbad-San Marcos, CA",7.3%
18,"Seattle-Tacoma-Bellevue, WA",7.1%
19,"Honolulu, HI",7%
20,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6.9%
21,"Anchorage, AK",6.9%
22,"Santa Rosa-Petaluma, CA",6.8%
23,"Houston-Sugar Land-Baytown, TX",6.8%
24,"Chicago-Joliet-Naperville, IL-IN-WI",6.8%
