,Response,Share of population
0,2018,80.44%
1,2017,80.18%
2,2016,79.92%
3,2015,79.66%
4,2014,79.39%
5,2013,79.14%
6,2012,78.88%
7,2011,78.62%
8,2010,78.37%
9,2009,78.12%
10,2008,77.87%
11,2007,77.62%
12,2006,77.38%
13,2005,77.13%
14,2004,76.88%
15,2003,76.63%
16,2002,76.38%
17,2001,76.13%
18,2000,75.87%
19,1999,75.61%
20,1998,75.42%
21,1997,75.25%
22,1996,75.08%
23,1995,74.91%
24,1994,74.74%
25,1993,74.57%
26,1992,74.4%
27,1991,74.23%
28,1990,74.06%
29,1989,73.95%
30,1988,73.88%
31,1987,73.8%
32,1986,73.72%
33,1985,73.65%
34,1984,73.58%
35,1983,73.5%
36,1982,73.42%
37,1981,73.35%
38,1980,73.28%
39,1979,73.21%
40,1978,73.14%
41,1977,73.07%
42,1976,73%
43,1975,72.93%
44,1974,72.65%
45,1973,72.26%
46,1972,71.86%
47,1971,71.46%
48,1970,71.06%
49,1969,70.65%
50,1968,70.24%
51,1967,69.36%
52,1966,68.22%
53,1965,67.07%
54,1964,65.9%
55,1963,64.7%
56,1962,63.49%
57,1961,62.61%
58,1960,61.88%
