,Year,Number of cases
0,3/8/20,21
1,3/9/20,57
2,3/10/20,69
3,3/11/20,155
4,3/12/20,355
5,3/13/20,619
6,3/14/20,642
7,3/15/20,1035
8,3/16/20,2121
9,3/17/20,2452
10,3/18/20,2971
11,3/19/20,3707
12,3/20/20,4007
13,3/21/20,2637
14,3/22/20,2579
15,3/23/20,3570
16,3/24/20,4501
17,3/25/20,4874
18,3/26/20,5047
19,3/27/20,5116
20,3/28/20,3480
21,3/29/20,3562
22,3/30/20,6130
23,3/31/20,5459
24,4/1/20,5449
25,4/2/20,5747
26,4/3/20,5670
27,4/4/20,3864
28,4/5/20,3781
29,4/6/20,6353
30,4/7/20,6043
31,4/8/20,5579
32,4/9/20,5071
33,4/10/20,4511
34,4/11/20,3732
35,4/12/20,2888
36,4/13/20,3312
37,4/14/20,4144
38,4/15/20,3877
39,4/16/20,3530
40,4/17/20,3585
41,4/18/20,2172
42,4/19/20,2346
43,4/20/20,3792
44,4/21/20,3063
45,4/22/20,3447
46,4/23/20,2841
47,4/24/20,2535
48,4/25/20,1596
49,4/26/20,1003
50,4/27/20,2288
51,4/28/20,2728
52,4/29/20,2341
53,4/30/20,2022
54,5/1/20,1887
55,5/2/20,1058
56,5/3/20,786
57,5/4/20,1551
58,5/5/20,1512
59,5/6/20,1398
60,5/7/20,1237
61,5/8/20,1083
62,5/9/20,657
63,5/10/20,457
64,5/11/20,1231
65,5/12/20,1285
66,5/13/20,1334
67,5/14/20,1111
68,5/15/20,873
69,5/16/20,486
70,5/17/20,359
71,5/18/20,895
72,5/19/20,1004
73,5/20/20,1076
74,5/21/20,1069
75,5/22/20,1039
76,5/23/20,456
77,5/24/20,467
78,5/25/20,465
79,5/26/20,1053
80,5/27/20,744
81,5/28/20,646
82,5/29/20,643
83,5/30/20,348
84,5/31/20,230
85,6/1/20,686
86,6/2/20,574
87,6/3/20,514
88,6/4/20,523
89,6/5/20,404
90,6/6/20,247
91,6/7/20,198
92,6/8/20,451
93,6/9/20,421
94,6/10/20,365
95,6/11/20,365
96,6/12/20,410
97,6/13/20,197
98,6/14/20,180
99,6/15/20,381
100,6/16/20,420
101,6/17/20,356
102,6/18/20,378
103,6/19/20,362
104,6/20/20,203
105,6/21/20,172
106,6/22/20,401
107,6/23/20,382
108,6/24/20,381
109,6/25/20,299
110,6/26/20,315
111,6/27/20,207
112,6/28/20,202
113,6/29/20,438
114,6/30/20,441
115,7/1/20,397
116,7/2/20,417
117,7/3/20,235
118,7/4/20,120
119,7/5/20,154
120,7/6/20,432
121,7/7/20,460
122,7/8/20,437
123,7/9/20,392
124,7/10/20,307
125,7/11/20,259
126,7/12/20,224
127,7/13/20,483
128,7/14/20,402
129,7/15/20,439
130,7/16/20,417
131,7/17/20,418
132,7/18/20,216
133,7/19/20,175
134,7/20/20,402
135,7/21/20,340
136,7/22/20,330
137,7/23/20,308
138,7/24/20,300
139,7/25/20,153
140,7/26/20,140
141,7/27/20,316
142,7/28/20,313
143,7/29/20,288
144,7/30/20,273
145,7/31/20,262
146,8/1/20,189
147,8/2/20,137
148,8/3/20,348
149,8/4/20,187
150,8/5/20,298
151,8/6/20,290
152,8/7/20,259
153,8/8/20,161
154,8/9/20,133
155,8/10/20,310
156,8/11/20,263
157,8/12/20,320
158,8/13/20,276
159,8/14/20,277
160,8/15/20,151
161,8/16/20,140
162,8/17/20,332
163,8/18/20,284
164,8/19/20,259
165,8/20/20,225
166,8/21/20,252
167,8/22/20,137
168,8/23/20,150
169,8/24/20,298
170,8/25/20,283
171,8/26/20,313
172,8/27/20,273
173,8/28/20,279
174,8/29/20,128
175,8/30/20,182
176,8/31/20,312
177,9/1/20,295
178,9/2/20,271
179,9/3/20,273
180,9/4/20,230
181,9/5/20,156
182,9/6/20,205
183,9/7/20,218
184,9/8/20,394
185,9/9/20,352
186,9/10/20,324
187,9/11/20,312
188,9/12/20,202
189,9/13/20,255
190,9/14/20,432
191,9/15/20,338
192,9/16/20,367
193,9/17/20,355
194,9/18/20,281
195,9/19/20,158
196,9/20/20,158
197,9/21/20,512
198,9/22/20,404
199,9/23/20,527
200,9/24/20,470
201,9/25/20,455
202,9/26/20,278
203,9/27/20,381
204,9/28/20,435
205,9/29/20,686
206,9/30/20,583
207,10/1/20,614
208,10/2/20,594
209,10/3/20,276
210,10/4/20,337
211,10/5/20,816
212,10/6/20,566
213,10/7/20,540
214,10/8/20,523
215,10/9/20,522
216,10/10/20,309
217,10/11/20,280
218,10/12/20,515
219,10/13/20,586
220,10/14/20,574
221,10/15/20,602
222,10/16/20,500
223,10/17/20,365
224,10/18/20,411
225,10/19/20,621
226,10/20/20,600
227,10/21/20,648
228,10/22/20,752
229,10/23/20,600
230,10/24/20,383
231,10/25/20,360
232,10/26/20,689
233,10/27/20,732
234,10/28/20,772
235,10/29/20,614
236,10/30/20,646
237,10/31/20,403
238,11/1/20,495
239,11/2/20,949
240,11/3/20,893
241,11/4/20,1094
242,11/5/20,1133
243,11/6/20,1030
244,11/7/20,834
245,11/8/20,785
246,11/9/20,1538
247,11/10/20,1582
248,11/11/20,1520
249,11/12/20,1493
250,11/13/20,1486
251,11/14/20,1020
252,11/15/20,890
253,11/16/20,1820
254,11/17/20,1718
255,11/18/20,1733
256,11/19/20,1853
257,11/20/20,1764
258,11/21/20,1282
259,11/22/20,1140
260,11/23/20,2302
261,11/24/20,2057
262,11/25/20,2350
263,11/26/20,800
264,11/27/20,2281
265,11/28/20,1773
266,11/29/20,1720
267,11/30/20,2784
268,12/1/20,3128
269,12/2/20,2984
270,12/3/20,2865
271,12/4/20,2770
272,12/5/20,1866
273,12/6/20,1732
274,12/7/20,3277
275,12/8/20,3033
276,12/9/20,3072
277,12/10/20,3096
278,12/11/20,2934
279,12/12/20,2163
280,12/13/20,2135
281,12/14/20,3533
282,12/15/20,3630
283,12/16/20,2746
284,12/17/20,1894
285,12/18/20,3383
286,12/19/20,2497
287,12/20/20,2286
288,12/21/20,4177
289,12/22/20,3951
290,12/23/20,3674
291,12/24/20,2903
292,12/25/20,978
293,12/26/20,3288
294,12/27/20,2730
295,12/28/20,5094
296,12/29/20,4841
297,12/30/20,4262
298,12/31/20,2566
299,1/1/21,771
