,Year,Import volume in billion U.S. dollars
0,2019,54.26
1,2018,45.76
2,2017,42.43
3,2016,39.2
4,2015,40.91
5,2014,40.84
6,2013,37.94
7,2012,38.86
8,2011,41.41
9,2010,35.85
10,2009,28.36
11,2008,36.33
12,2007,38.28
13,2006,38.21
14,2005,34.83
15,2004,34.62
16,2003,31.6
17,2002,32.15
18,2001,33.37
19,2000,40.5
20,1999,35.2
21,1998,33.12
22,1997,32.63
23,1996,29.91
24,1995,28.97
25,1994,26.71
26,1993,25.1
27,1992,24.6
28,1991,23.02
29,1990,22.67
30,1989,24.31
31,1988,24.71
32,1987,24.62
33,1986,19.79
34,1985,16.4
