,household expenditure ,Average expenditure in Canadian dollars
0,Shelter,12692
1,Transportation,12155
2,Income taxes,11708
3,Food expenditures,7634
4,Household operations,4757
5,Personal insurance payments and pension contributions,4621
6,Recreation,3302
7,Clothing and accessories,2715
8,Health care,2640
9,Household furnishings and equipment,1949
10,"Gifts of money, support payments and charitable contributions",1893
11,Miscellaneous expenditures,1324
12,Tobacco products and alcoholic beverages,1237
13,Personal care,995
14,Education,841
15,Games of chance,210
16,Reading materials and other printed matter,159
