,Metropolitan Statistical Area,Number of residents in thousands
0,"New York-Newark-Jersey City, NY-NJ-PA",19216.18
1,"Los Angeles-Long Beach-Anaheim, CA",13214.8
2,"Chicago-Naperville-Elgin, IL-IN-WI",9458.54
3,"Dallas-Fort Worth-Arlington, TX",7573.14
4,"Houston-The Woodlands-Sugar Land, TX",7066.14
5,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6280.49
6,"Miami-Fort Lauderdale-Pompano Beach, FL",6166.49
7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6102.43
8,"Atlanta-Sandy Springs-Alpharetta, GA",6020.36
9,"Phoenix-Mesa-Chandler, AZ",4948.2
10,"Boston-Cambridge-Newton, MA-NH",4873.02
11,"San Francisco-Oakland-Berkeley, CA",4731.8
12,"Riverside-San Bernardino-Ontario, CA",4650.63
13,"Detroit-Warren-Dearborn, MI",4319.63
14,"Seattle-Tacoma-Bellevue, WA",3979.85
15,"Minneapolis-St. Paul-Bloomington, MN-WI",3640.04
16,"San Diego-Chula Vista-Carlsbad, CA",3338.33
17,"Tampa-St. Petersburg-Clearwater, FL",3194.83
18,"Denver-Aurora-Lakewood, CO",2967.24
19,"St. Louis, MO-IL",2803.23
20,"Baltimore-Columbia-Towson, MD",2800.05
21,"Charlotte-Concord-Gastonia, NC-SC",2636.88
22,"Orlando-Kissimmee-Sanford, FL",2608.15
23,"San Antonio-New Braunfels, TX",2550.96
24,"Portland-Vancouver-Hillsboro, OR-WA",2492.41
25,"Sacramento-Roseville-Folsom, CA",2363.73
26,"Pittsburgh, PA",2317.6
27,"Las Vegas-Henderson-Paradise, NV",2266.72
28,"Austin-Round Rock-Georgetown, TX",2227.08
29,"Cincinnati, OH-KY-IN",2221.21
30,"Kansas City, MO-KS",2157.99
31,"Columbus, OH",2122.27
32,"Indianapolis-Carmel-Anderson, IN",2074.54
33,"Cleveland-Elyria, OH",2048.45
34,"San Juan-Bayamón-Caguas, PR",2023.23
35,"San Jose-Sunnyvale-Santa Clara, CA",1990.66
36,"Nashville-Davidson--Murfreesboro--Franklin, TN",1934.32
37,"Virginia Beach-Norfolk-Newport News, VA-NC",1768.9
38,"Providence-Warwick, RI-MA",1624.58
39,"Milwaukee-Waukesha, WI",1575.18
40,"Jacksonville, FL",1559.51
41,"Oklahoma City, OK",1408.95
42,"Raleigh-Cary, NC",1390.79
43,"Memphis, TN-MS-AR",1346.05
44,"Richmond, VA",1291.9
45,"New Orleans-Metairie, LA",1270.53
46,"Louisville/Jefferson County, KY-IN",1265.11
47,"Salt Lake City, UT",1232.7
48,"Hartford-East Hartford-Middletown, CT",1204.88
49,"Buffalo-Cheektowaga, NY",1127.98
