,Month,Index number of sales per week
0,Sep 19,140.0
1,Aug 19,136.8
2,Jul 19,138.8
3,Jun 19,139.3
4,May 19,140.3
5,Apr 19,132.8
6,Mar 19,134.7
7,Feb 19,126.7
8,Jan 19,124.8
9,Dec 18,129.6
10,Nov 18,132.5
11,Oct 18,131.2
12,Sep 18,133.0
13,Aug 18,135.8
14,Jul 18,137.5
15,Jun 18,112.8
16,May 18,124.1
17,Apr 18,118.7
18,Mar 18,111.5
19,Feb 18,116.8
20,Jan 18,120.2
21,Dec 17,114.3
22,Nov 17,128.1
23,Oct 17,115.7
24,Sep 17,118.8
25,Aug 17,118.6
26,Jul 17,117.0
27,Jun 17,114.4
28,May 17,113.3
29,Apr 17,116.5
30,Mar 17,115.2
31,Feb 17,118.3
32,Jan 17,114.8
33,Dec 16,107.9
34,Nov 16,104.0
35,Oct 16,107.3
36,Sep 16,101.2
37,Aug 16,100.3
38,Jul 16,99.6
39,Jun 16,104.1
40,May 16,97.2
41,Apr 16,97.7
42,Mar 16,92.5
43,Feb 16,95.3
44,Jan 16,91.6
