,State/Province,Number of victims
0,"Norway, Oslo/Utoeya (2011)",77
1,"Australia, Port Arthur (1996)",35
2,"USA, Blacksburg, Virginia (2007)",32
3,"USA, Newtown, Connecticut (2012)",27
4,"USA, Killeen, Texas (1991)",23
5,"USA, San Ysidro, California (1984)",21
6,Brazil (1997),17
7,"Scotland, Dunblane (1996)",17
8,"Germany, Erfurt (2002)",16
9,"England, Hungerford (1987)",16
10,"USA, Austin, Texas (1966)",16
11,"Germany, Winnenden (2009)",15
12,"Switzerland, Zug (2001)",14
13,"USA, Edmond, Oklahoma (1986)",14
14,"New Zealand, Aramoana (1990)",13
15,"USA, Fort Hood, Texas (2009)",13
16,"USA, Littleton, Colorado (1999)",13
17,"USA, Binghampton, New York (2009)",13
18,"France, Toulon (1995)",13
19,"USA, Aurora, Texas (2012)",12
20,"Azerbaijan, Baku (2009)",12
21,"USA, Atlanta, Georgia (1999)",12
22,"USA, Jacksonville, Florida (1990)",10
23,"Finland, Kauhajok (2008)",10
24,"USA, Alabama (2009)",10
25,"USA, Red Lake, Minnesota (2005)",9
26,"USA, Los Angeles, California (2008)",9
27,"Canada, Montreal (1989)",9
28,"France, Nanterre (2002)",8
29,"Finland, Tuusula (2007)",8
30,"Japan, Osaka (2001)",8
31,"USA, Fullerton, California (1976)",7
