,Year,GDP per capita in U.S. dollars
0,2025*,4458.0
1,2024*,4312.2
2,2023*,4184.62
3,2022*,4101.99
4,2021*,3697.21
5,2020*,3414.81
6,2019*,4113.89
7,2018*,4267.11
8,2017,4072.02
9,2016,3536.6
10,2015,3779.6
11,2014,4133.03
12,2013,4291.2
13,2012,4568.75
14,2011,4603.2
15,2010,4263.91
16,2009,3479.71
17,2008,3214.49
18,2007,3402.16
19,2006,3262.22
20,2005,3174.59
21,2004,2797.02
22,2003,2235.68
23,2002,1473.72
24,2001,1599.21
25,2000,1818.67
26,1999,1861.5
27,1998,1914.24
28,1997,2105.17
29,1996,2012.45
30,1995,2171.72
31,1994,1859.52
32,1993,1750.16
33,1992,1699.81
34,1991,1567.76
35,1990,1552.21
36,1989,1306.67
37,1988,1332.88
38,1987,1172.28
39,1986,936.25
40,1985,762.13
