,Quarter,Imports in billion U.S. dollars
0,Q2 '20,609.55
1,Q1 '20,732.03
2,Q4 '19,762.23
3,Q3 '19,779.85
4,Q2 '19,783.61
5,Q1 '19,779.45
6,Q4 '18,793.18
7,Q3 '18,787.03
8,Q2 '18,769.91
9,Q1 '18,769.2
10,Q4 '17,753.4
11,Q3 '17,720.77
12,Q2 '17,716.79
13,Q1 '17,710.22
14,Q4 '16,695.41
15,Q3 '16,685.26
16,Q2 '16,672.37
17,Q1 '16,666.06
18,Q4 '15,679.86
19,Q3 '15,694.12
20,Q2 '15,697.18
21,Q1 '15,699.85
22,Q4 '14,722.32
23,Q3 '14,720.03
24,Q2 '14,723.16
25,Q1 '14,710.9
26,Q4 '13,694.04
27,Q3 '13,690.0
28,Q2 '13,688.0
29,Q1 '13,688.04
30,Q4 '12,689.96
31,Q3 '12,688.13
32,Q2 '12,696.6
33,Q1 '12,698.68
34,Q4 '11,688.33
35,Q3 '11,682.43
36,Q2 '11,674.88
37,Q1 '11,652.43
38,Q4 '10,619.47
39,Q3 '10,604.72
40,Q2 '10,588.05
41,Q1 '10,563.17
