,Year,Gross domestic product in billion U.S. dollars
0,2024*,90.48
1,2023*,84.7
2,2022*,79.34
3,2021*,74.63
4,2020*,69.76
5,2019*,67.08
6,2018,65.52
7,2017,58.98
8,2016,54.99
9,2015,48.6
10,2014,53.17
11,2013,63.28
12,2012,56.5
13,2011,53.65
14,2010,43.04
15,2009,34.25
16,2008,38.41
17,2007,33.94
18,2006,28.79
19,2005,24.52
20,2004,20.24
21,2003,17.49
22,2002,14.2
23,2001,12.23
24,2000,11.47
25,1999,17.76
26,1998,17.15
27,1997,15.79
28,1996,15.46
29,1995,14.54
30,1994,12.3
31,1993,13.38
32,1992,16.48
33,1991,16.67
34,1990,14.9
35,1989,12.9
36,1988,12.68
37,1987,11.93
38,1986,14.23
39,1985,15.38
40,1984,17.33
