,Year,Gross domestic product in billion U.S. dollars
0,2019*,284.21
1,2018,314.59
2,2017,304.57
3,2016,278.66
4,2015,270.56
5,2014,244.36
6,2013,231.22
7,2012,224.38
8,2011,213.59
9,2010,177.17
10,2009,167.88
11,2008,170.85
12,2007,152.36
13,2006,137.23
14,2005,118.48
15,2004,105.61
16,2003,89.73
17,2002,77.94
18,2001,77.93
19,2000,79.71
20,1999,82.51
21,1998,81.49
22,1997,81.81
23,1996,82.97
24,1995,79.45
25,1994,68.0
26,1993,67.44
27,1992,63.73
28,1991,59.56
29,1990,52.43
30,1989,52.26
31,1988,50.11
32,1987,43.44
33,1986,41.54
34,1985,40.57
35,1984,40.57
