,Month,Price in GBP per kilogram
0,Nov '19,0.49
1,Oct '19,0.51
2,Sep '19,0.5
3,Aug '19,0.5
4,Jul '19,0.53
5,Jun '19,0.49
6,May '19,0.51
7,Apr '19,0.51
8,Mar '19,0.47
9,Feb '19,0.49
10,Jan '19,0.46
11,Dec '18,0.48
12,Nov '18,0.47
13,Oct '18,0.45
14,Sep '18,0.47
15,Aug '18,0.52
16,Jul '18,0.52
17,Jun '18,0.47
18,May '18,0.48
19,Apr '18,0.48
20,Mar '18,0.46
21,Feb '18,0.45
22,Jan '18,0.47
23,Dec '17,0.48
24,Nov '17,0.49
25,Oct '17,0.43
26,Sep '17,0.41
27,Aug '17,0.41
28,Jul '17,0.42
29,Jun '17,0.38
30,May '17,0.36
31,Apr '17,0.38
32,Mar '17,0.37
33,Feb '17,0.37
34,Jan '17,0.36
35,Dec '16,0.35
36,Nov '16,0.36
37,Oct '16,0.37
38,Sep '16,0.35
39,Aug '16,0.38
40,Jul '16,0.37
41,Jun '16,0.36
42,May '16,0.36
43,Apr '16,0.35
44,Mar '16,0.35
45,Feb '16,0.35
46,Jan '16,0.36
47,Dec '15,0.36
48,Nov '15,0.35
49,Oct '15,0.36
50,Sep '15,0.38
51,Aug '15,0.38
52,Jul '15,0.38
53,Jun '15,0.35
54,May '15,0.36
55,Apr '15,0.34
56,Mar '15,0.33
57,Feb '15,0.34
58,Jan '15,0.34
