,Month,Index number of sales per week
0,Jun 20,104.4
1,May 20,71.1
2,Apr 20,50.0
3,Mar 20,92.1
4,Feb 20,100.8
5,Jan 20,99.6
6,Dec 19,100.9
7,Nov 19,102.0
8,Oct 19,101.3
9,Sep 19,103.1
10,Aug 19,101.4
11,Jul 19,99.1
12,Jun 19,104.3
13,May 19,101.9
14,Apr 19,99.9
15,Mar 19,103.1
16,Feb 19,100.6
17,Jan 19,101.7
18,Dec 18,104.8
19,Nov 18,107.7
20,Oct 18,105.7
21,Sep 18,107.5
22,Aug 18,106.7
23,Jul 18,102.7
24,Jun 18,103.8
25,May 18,105.1
26,Apr 18,104.8
27,Mar 18,102.4
28,Feb 18,102.2
29,Jan 18,101.5
30,Dec 17,98.7
31,Nov 17,100.5
32,Oct 17,100.9
33,Sep 17,98.5
34,Aug 17,96.6
35,Jul 17,101.3
36,Jun 17,99.3
37,May 17,97.2
38,Apr 17,104.3
39,Mar 17,99.7
40,Feb 17,100.0
41,Jan 17,98.8
42,Dec 16,99.6
43,Nov 16,103.2
44,Oct 16,100.9
45,Sep 16,97.8
46,Aug 16,97.4
47,Jul 16,102.0
48,Jun 16,98.9
49,May 16,102.5
50,Apr 16,97.8
51,Mar 16,97.7
52,Feb 16,102.2
53,Jan 16,101.2
