,Country,Unnamed: 1
0,Germany,100
1,Switzerland,98
2,European Union,92
3,United Kingdom,91
4,Sweden,90
5,Canada,85
6,Italy,84
7,Japan,81
8,France,81
9,United States,81
10,Finland,77
11,Norway,77
12,Netherlands,76
13,Australia,75
14,New Zealand,73
15,Denmark,73
16,Austria,72
17,Belgium,71
18,Ireland,65
19,Spain,64
20,South Korea,56
21,Singapore,56
22,Portugal,54
23,Poland,51
24,Greece,48
25,Russia,46
26,Taiwan,46
27,Hungary,45
28,Czech Republic,43
29,Argentina,42
30,Brazil,42
31,Malaysia,41
32,Slovakia,40
33,Thailand,40
34,Chile,39
35,Colombia,39
36,Turkey,37
37,Peru,37
38,South Africa,37
39,Mexico,37
40,Romania,37
41,Israel,36
42,India,36
43,Indonesia,36
44,Ukraine,35
45,Vietnam,34
46,Philippines,32
47,Bangladesh,29
48,China,28
49,Iran,27
