,Year,Gross domestic product in billion U.S. dollars
0,2024*,24.4
1,2023*,23.95
2,2022*,23.64
3,2021*,23.42
4,2020*,23.34
5,2019*,23.95
6,2018*,26.72
7,2017,25.87
8,2016,20.94
9,2015,21.24
10,2014,27.15
11,2013,28.05
12,2012,25.5
13,2011,23.46
14,2010,20.27
15,2009,15.33
16,2008,17.91
17,2007,14.06
18,2006,12.76
19,2005,8.33
20,2004,6.22
21,2003,4.9
22,2002,4.19
23,2001,4.09
24,2000,3.6
25,1999,3.41
26,1998,3.54
27,1997,4.3
28,1996,3.6
29,1995,3.8
30,1994,3.66
31,1993,3.55
32,1992,3.61
33,1991,3.69
34,1990,4.09
35,1989,4.37
36,1988,4.1
37,1987,2.43
38,1986,1.96
39,1985,2.85
40,1984,3.0
