,Company,Turnover in billion DKK
0,A.P. Møller - Mærsk A/S,192.17
1,Centrica Energy Trading A/S,69.26
2,Danske Bank A/S,48.15
3,Ørsted Salg & Service A/S,43.13
4,Ørsted Wind Power A/S,42.56
5,Vestas Wind Systems A/S,36.64
6,Lego A/S,36.39
7,Coop Danmark A/S,35.54
8,Energi Danmark A/S,32.54
9,Lego System A/S,27.35
10,Equinor Refining Denmark A/S,23.01
11,Pandora A/S,22.81
12,Siemens Gamesa Renewable Energy A/S,21.46
13,Danish Crown A/S,21.41
14,"Lundbeck A/S, H",18.12
15,Reitan Distribution A/S,16.98
16,Coloplast A/S,15.53
17,Bestseller A/S,13.86
18,Dansk Shell A/S,13.08
19,Velux A/S,12.77
