,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",123.68
1,Professional and business services,100.25
2,"Educational services, health care, and social assistance",88.0
3,Manufacturing,86.25
4,Government and government enterprises,64.91
5,Information,57.2
6,Wholesale trade,38.88
7,Retail trade,38.33
8,Transportation and warehousing,27.06
9,"Mining, quarrying, and oil and gas extraction",26.86
10,Construction,25.88
11,"Arts, entertainment, recreation, accommodation, and food services",23.32
12,Utilities,10.73
13,"Agriculture, forestry, fishing, and hunting",4.89
