,State,Number of veterans
0,California,1471467
1,Texas,1405059
2,Florida,1402264
3,Pennsylvania,710375
4,Ohio,663232
5,Virginia,655698
6,New York,655055
7,North Carolina,641993
8,Georgia,616527
9,Illinois,526153
10,Washington,523852
11,Michigan,520129
12,Arizona,478354
13,Tennessee,422161
14,Missouri,382548
15,Colorado,367292
16,Indiana,364594
17,South Carolina,354669
18,Maryland,350423
19,Alabama,318254
20,Wisconsin,315574
21,New Jersey,302777
22,Massachusetts,277814
23,Minnesota,276686
24,Oregon,263885
25,Oklahoma,261559
26,Kentucky,250036
27,Louisiana,229938
28,Nevada,212507
29,Iowa,185254
30,Arkansas,184996
31,Kansas,165033
32,Connecticut,156499
33,Mississippi,153873
34,New Mexico,135230
35,West Virginia,121084
36,Idaho,120919
37,Utah,115363
38,Nebraska,112177
39,Maine,97439
40,New Hampshire,93866
41,Hawaii,90368
42,Montana,86270
43,Delaware,68252
44,Alaska,57225
45,South Dakota,57032
46,Rhode Island,49471
47,North Dakota,46041
48,Wyoming,41390
49,Vermont,35114
50,District of Columbia,24580
