,Response,Share of responding businesses
0,Attracting customers,78%
1,Increasing revenue,72%
2,Maintaining profitability,32%
3,Securing financing for business as usual,30%
4,Developing new products/innovation,26%
5,Retaining/recruiting skilled employees,22%
6,Tax laws and rules,22%
7,"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",21%
8,Securing financing for expansion,21%
9,Finding/working with suppliers,19%
10,Uncertainty over economic conditions,13%
11,Selling to foreign markets,9%
