,Year,Number of tickets sold in millions
0,2019,1239.25
1,2018,1311.32
2,2017,1225.64
3,2016,1301.66
4,2015,1323.27
5,2014,1257.4
6,2013,1339.17
7,2012,1381.11
8,2011,1282.89
9,2010,1328.55
10,2009,1418.57
11,2008,1358.04
12,2007,1420.04
13,2006,1398.74
14,2005,1373.22
15,2004,1495.65
16,2003,1524.3
17,2002,1575.75
18,2001,1476.22
19,2000,1397.46
20,1999,1444.66
21,1998,1443.83
22,1997,1385.22
23,1996,1305.17
24,1995,1221.69
25,1994,1291.7
26,1993,1244.0
27,1992,1173.2
28,1991,1140.6
29,1990,1188.6
30,1989,1262.8
31,1988,1084.8
32,1987,1088.5
33,1986,1017.2
34,1985,1056.1
35,1984,1199.0
36,1983,1197.0
37,1982,1175.0
38,1981,1067.0
39,1980,1022.0
