,Year,Number of COVID-19 tests per day
0,30 July,47373
1,29 July,35262
2,28 July,61980
3,27 July,40023
4,26 July,44444
5,25 July,20161
6,24 July,37544
7,23 July,86224
8,22 July,0
9,21 July,53088
10,20 July,38738
11,19 July,43763
12,18 July,50286
13,17 July,45862
14,16 July,39410
15,15 July,44875
16,14 July,44729
17,13 July,29363
18,12 July,40814
19,11 July,44509
20,10 July,42852
21,9 July,35169
22,8 July,44461
23,7 July,34786
24,6 July,25971
25,5 July,29208
26,4 July,37502
27,3 July,78091
28,2 July,0
29,1 July,48468
30,30 June,44980
31,29 June,36390
32,28 June,42072
33,27 June,39880
34,26 June,39713
35,25 June,35781
36,24 June,38751
37,23 June,28677
38,22 June,32660
39,21 June,43218
40,20 June,44123
41,19 June,40959
42,18 June,37751
43,17 June,33254
44,16 June,30700
45,15 June,38852
46,14 June,41828
47,13 June,43600
48,12 June,39241
49,11 June,33536
50,10 June,25578
51,9 June,33319
52,8 June,28545
53,7 June,37779
54,6 June,5641
55,5 June,37411
56,4 June,35823
57,3 June,30112
58,2 June,30138
59,1 June,28255
60,31 May,31868
61,30 May,37797
62,29 May,62522
63,28 May,27941
64,27 May,2433
65,26 May,20719
66,25 May,24872
67,24 May,49682
68,23 May,3644
69,22 May,24418
70,21 May,4217
71,20 May,35962
72,19 May,16980
73,18 May,23292
74,17 May,31193
75,16 May,61990
76,15 May,30716
77,14 May,27304
78,13 May,23939
79,12 May,88864
80,11 May,4109
81,10 May,0
82,9 May,62377
83,8 May,3336
84,7 May,59356
85,6 May,23158
86,5 May,21924
87,4 May,3954
88,3 May,31410
89,2 May,55631
90,1 May,18166
91,30 April,29871
92,29 April,17553
93,28 April,23408
94,27 April,25788
95,26 April,22105
96,25 April,26160
97,24 April,23297
98,23 April,43753
99,22 April,10417
100,21 April,10380
101,20 April,19489
102,19 April,19846
103,18 April,13213
104,17 April,15943
105,16 April,24707
106,15 April,11636
107,14 April,21797
108,13 April,24269
109,12. April,3099
110,11 April,18230
111,10 April,9741
112,09 April,14312
113,08 April,22463
114,07 April,0
115,06 April,24835
116,05 April,21401
117,04 April,0
118,03 April,33637
119,02 April,6838
120,01 April,13244
121,31 March,15223
122,30 March,16531
123,29 March,20896
124,28 March,19637
125,27 March,5966
126,26 March,16444
127,25 March,35007
128,24 March,27748
129,23 March,0
130,22 March,982
131,21 March,12417
132,20 March,0
133,19 March,0
134,18 March,0
135,17 March,0
136,16 March,0
137,15 March,0
138,14 March,0
139,13 March,0
140,12 March,7775
