,Year,Number of members (in thousands)
0,2019,6440
1,2018,6350
2,2017,6875
3,2016,6865
4,2015,6949
5,2014,7011
6,2013,7086
7,2012,7197
8,2011,7261
9,2010,7329
10,2009,7388
11,2008,7656
12,2007,7628
13,2006,7603
14,2005,7473
15,2004,7559
16,2003,7736
17,2002,7751
18,2001,7779
19,2000,7898
20,1999,7852
21,1998,7801
22,1997,7938
23,1996,8031
24,1995,8231
25,1994,8666
26,1993,8929
27,1992,9489
28,1991,9810
29,1990,10044
30,1989,10387
31,1988,10480
32,1987,10598
33,1986,10819
34,1985,10774
35,1984,11300
36,1983,11744
37,1982,12311
38,1981,12636
39,1980,13212
40,1979,13054
41,1978,12719
42,1977,12133
43,1976,11656
44,1975,11044
45,1974,11755
46,1973,11444
47,1972,11350
48,1971,11128
49,1970,11179
50,1969,10472
51,1968,10193
52,1967,10191
53,1966,10259
54,1965,10325
55,1964,10218
56,1963,10067
57,1962,10014
58,1961,9916
59,1960,9835
60,1959,9623
61,1958,9639
62,1957,9829
63,1956,9778
64,1955,9741
65,1954,9566
66,1953,9527
67,1952,9588
68,1951,9535
69,1950,9289
70,1949,9318
71,1948,9362
72,1947,9145
73,1946,8803
74,1945,7875
75,1944,8087
76,1943,8174
77,1942,7867
78,1941,7165
79,1940,6613
80,1939,6298
81,1938,6053
82,1937,5842
83,1936,5295
84,1935,4867
85,1934,4590
86,1933,4392
87,1932,4444
88,1931,4624
89,1930,4842
90,1929,4858
91,1928,4806
92,1927,4919
93,1926,5219
94,1925,5506
95,1924,5544
96,1923,5429
97,1922,5625
98,1921,6633
99,1920,8348
100,1919,7926
101,1918,6533
102,1917,5499
103,1916,4644
104,1915,4359
105,1914,4145
106,1913,4135
107,1912,3416
108,1911,3139
109,1910,2565
110,1909,2477
111,1908,2485
112,1907,2513
113,1906,2210
114,1905,1997
115,1904,1967
116,1903,1994
117,1902,2013
118,1901,2025
119,1900,2022
120,1899,1911
121,1898,1752
122,1897,1731
123,1896,1608
124,1895,1504
125,1894,1530
126,1893,1559
127,1892,1576
