,Industry,Average usual weekly hours
0,"Forestry, fishing, mining, quarrying, oil and gas",45.0
1,Agriculture,43.5
2,Goods-producing sector,40.4
3,Construction,40.3
4,Transportation and warehousing,40.2
5,Manufacturing,39.3
6,Utilities,38.6
7,"Professional, scientific and technical services",37.0
8,Public administration,36.7
9,"Finance, insurance, real estate, rental and leasing",36.7
10,"Total employed, all industries",35.7
11,Other services (except public administration),34.9
12,Services-producing sector,34.5
13,Health care and social assistance,34.2
14,"Business, building and other support services",33.8
15,Wholesale and retail trade,33.5
16,"Information, culture and recreation",32.5
17,Educational services,31.8
18,Accommodation and food services,29.8
