,State,Number of congregations
0,Texas,27848
1,California,23558
2,North Carolina,15737
3,Florida,15611
4,Pennsylvania,15359
5,New York,14110
6,Ohio,13606
7,Illinois,12453
8,Georgia,12292
9,Tennessee,11542
10,Alabama,10514
11,Virginia,10088
12,Michigan,9521
13,Indiana,9061
14,Missouri,9001
15,South Carolina,8051
16,Kentucky,7745
17,Oklahoma,7057
18,Mississippi,6765
19,Arkansas,6697
20,New Jersey,6114
21,Washington,6114
22,Wisconsin,6078
23,Minnesota,5953
24,Louisiana,5841
25,Utah,5557
26,Maryland,5336
27,Iowa,5107
28,Kansas,4782
29,Arizona,4673
30,West Virginia,4413
31,Massachusetts,4200
32,Colorado,4188
33,Oregon,4026
34,Nebraska,2860
35,Connecticut,2597
36,New Mexico,2447
37,Idaho,2427
38,South Dakota,1819
39,Montana,1778
40,Maine,1574
41,North Dakota,1498
42,Nevada,1392
43,Hawaii,1314
44,Alaska,1246
45,New Hampshire,1025
46,Wyoming,948
47,Vermont,854
48,Delaware,831
49,Rhode Island,677
50,District of Columbia,609
