,City,Date costs in U.S. dollars
0,Zurich,202.7$
1,Oslo,163.9$
2,Copenhagen,157.8$
3,Helsinki,150.5$
4,Tokyo,148.3$
5,New York City,142.8$
6,Amsterdam,140.8$
7,London,137.7$
8,San Francisco,137.5$
9,Stockholm,132.2$
10,Brussels,130.1$
11,Edinburgh,128.5$
12,Milan,126.5$
13,Boston,125.7$
14,Sydney,122.7$
15,Chicago,122.1$
16,Hong Kong,122$
17,Paris,120.7$
18,Frankfurt,120.1$
19,Dublin,119.6$
20,Dubai,116.5$
21,Auckland,112.9$
22,Rome,109$
23,Melbourne,107.1$
24,Vancouver,106.9$
25,Berlin,104.7$
26,Madrid,104.5$
27,Vienna,102.2$
28,Wellington,101$
29,Toronto,99.2$
30,Athens,95.1$
31,Singapore,93.5$
32,Rio de Janeiro,76$
33,Sao Paulo,74.1$
34,Lisbon,72.9$
35,Seoul,72.7$
36,Moscow,70.6$
37,Johannesburg,69.8$
38,Shanghai,68.9$
39,Prague,65.2$
40,Mexico City,59.7$
41,Warsaw,57.7$
42,Lagos,55.5$
43,Cape Town,53.4$
44,Dhaka,49.1$
45,Kuala Lumpur,49$
46,New Delhi,48.5$
47,Manila,45.3$
48,Jakarta,45$
49,Mumbai,43.7$
50,Istanbul,43.2$
51,Buenos Aires,42.8$
52,Bangalore,42.6$
53,Cairo,41.9$
