,Metropolitan area,Crime severity index
0,"Winnipeg, Manitoba",131.71
1,"Regina, Saskatchewan",129.96
2,"Kelowna, British Columbia",121.38
3,"Saskatoon, Saskatchewan",117.34
4,"Edmonton, Alberta",114.89
5,"Moncton, New Brunswick",108.86
6,"Thunder Bay, Ontario",100.59
7,"Vancouver, British Columbia",95.39
8,"Calgary, Alberta",92.91
9,"Abbotsford-Mission, British Columbia",86.4
10,"Brantford, Ontario",83.35
11,"Greater Sudbury, Ontario",82.05
12,"Windsor, Ontario",80.29
13,"London, Ontario",75.14
14,"Victoria, British Columbia",74.34
15,"Kitchener-Cambridge-Waterloo, Ontario",73.32
16,"St. John's, Newfoundland and Labrador",71.26
17,"Kingston, Ontario",67.82
18,"Guelph, Ontario",64.62
19,"St.Catharines-Niagara, Ontario",64.33
20,"Halifax, Nova Scotia",60.71
21,"Hamilton, Ontario",60.15
22,"Montréal, Quebec",57.98
23,"Ottawa-Gatineau, Ontario part",57.01
24,"Ottawa-Gatineau, Ontario/Quebec",56.72
25,"Saint John, New Brunswick",56.1
26,"Ottawa-Gatineau, Quebec part",55.8
27,"Peterborough, Ontario",54.41
28,"Toronto, Ontario",54.18
29,"Barrie, Ontario",53.05
30,"Trois-Rivières, Quebec",51.8
31,"Saguenay, Quebec",47.72
32,"Sherbrooke, Quebec",47.24
33,"Québec, Quebec",43.77
