,Response,Share of respondents
0,Physical violence,55%
1,Sexual harassment,54%
2,Sexual violence,52%
3,Domestic abuse,21%
4,Equal pay,15%
5,Workplace discrimination,15%
6,Sexualization of women and girls in the media,14%
7,Lack of women in leadership roles in business and public life,9%
8,Gender stereotyping,8%
9,"The amount of unpaid work that women do (e.g. cooking, cleaning, childcare)",7%
10,Access to employment,6%
11,Balancing work and caring responsibilities,5%
12,Abuse on social media,5%
13,Support for pregnant women and new mothers,5%
14,Lack of financial/economic independence,4%
