,Hospital (Location),Number of beds
0,Jackson Memorial Hospital (Miami)*,5266
1,Florida Hospital Orlando,2473
2,New York Presbyterian Hospital/Weill Cornell Medical Center (New York City),2428
3,Baptist Medical Center (San Antonio),1563
4,University of Pittsburgh Medical Center Presbyterian,1540
5,Orlando (Fla.) Regional Medical Center,1530
6,"Montefiore Medical Center-Moses Division Hospital (Bronx, N.Y.)",1526
7,Yale-New Haven (Conn.) Hospital,1499
8,Barnes-Jewish Hospital (Saint Louis),1394
9,Methodist University Hospital (Memphis),1373
