,Cricket player,Number of runs scored
0,BC Lara  (West Indies vs England - 2004)*,400
1,ML Hayden  (Australia vs Zimbabwe - 2003),380
2,BC Lara (West Indies vs England - 1994),375
3,DPMD Jayawardene  (Sri Lanka vs South Africa - 2006),374
4,GS Sobers  (West Indies vs Pakistan - 1958)*,365
5,L Hutton  (England vs Australia - 1938),364
6,ST Jayasuriya  (Sri Lanka vs India - 1997),340
7,Hanif Mohammad  (Pakistan vs West Indies - 1958),337
8,WR Hammond (England vs New Zealand - 1933)*,336
9,DA Warner (Australia vs Pakistan - 2019)*,335
