,Year,Gross domestic product in billion international dollars
0,2021*,1.43
1,2020*,1.33
2,2019*,1.38
3,2018,1.35
4,2017,1.29
5,2016,1.26
6,2015,1.22
7,2014,1.19
8,2013,1.16
9,2012,1.12
10,2011,1.08
11,2010,1.06
12,2009,1.09
13,2008,1.1
14,2007,1.06
15,2006,1.0
16,2005,0.9
17,2004,0.85
18,2003,0.8
19,2002,0.73
20,2001,0.67
21,2000,0.65
22,1999,0.62
23,1998,0.6
24,1997,0.57
25,1996,0.54
26,1995,0.52
27,1994,0.48
28,1993,0.48
29,1992,0.45
30,1991,0.41
31,1990,0.39
32,1989,0.36
33,1988,0.33
34,1987,0.28
35,1986,0.28
36,1985,0.26
37,1984,0.24
