,Year,Inflation rate compared to previous year
0,2025*,3%
1,2024*,3%
2,2023*,3%
3,2022*,2.94%
4,2021*,2.94%
5,2020*,3.9%
6,2019,1.81%
7,2018,3.7%
8,2017,2.86%
9,2016,-1.01%
10,2015,4.04%
11,2014,1.39%
12,2013,4.34%
13,2012,7.11%
14,2011,2.56%
15,2010,-2.41%
16,2009,31.75%
17,2008,36.97%
18,2007,5.32%
19,2006,-1.86%
20,2005,0.65%
21,2004,3.9%
22,2003,3.3%
23,2002,0.2%
24,2001,6%
25,2000,6.3%
26,1999,6.3%
27,1998,2.7%
28,1997,1.8%
29,1996,-2.06%
30,1995,0.51%
31,1994,2.23%
32,1993,-0.34%
33,1992,2.02%
34,1991,2.03%
35,1990,3.95%
36,1989,3.32%
37,1988,0.48%
38,1987,2.24%
39,1986,2.4%
40,1985,0.59%
