,method of transactions,Month-on-month change in Revolut transactions
0,Skycash,-65%
1,Booking.com,-64%
2,Costa Coffee,-61%
3,Green Caffe Nero,-60%
4,Empik,-59%
5,Jak Dojadę,-58%
6,Starbucks,-58%
7,Mobilet,-57%
8,PKP Intercity,-57%
9,TK Maxx,-57%
10,Burger King,-53%
11,Decathlon,-51%
12,IKEA,-49%
13,Bolt,-48%
14,McDonald's,-47%
15,UBER,-45%
16,Dallmayr Vending & Office,-45%
17,KFC,-45%
18,INMEDIO,-45%
19,Automaty UVP,-43%
20,AUTOPAY,-33%
21,Dbam o zdrowie,10%
22,ALEXPRESS,12%
23,Pyszne,20%
24,NETFLIX,20%
25,SPOTIFY,25%
26,HBO,25%
27,LeClerc,27%
28,Biedronka,31%
29,Intermarche,32%
30,Netto,34%
31,Auchan,39%
32,Delikatesy Centrum,42%
33,Allegro,42%
34,Stokrotka,44%
35,Lewiatan,44%
36,UBER Eats,46%
37,WOLT,49%
38,Nintendo,49%
39,Piotr i Paweł,60%
40,TVN,76%
41,PlayStation,87%
42,Steam Games,109%
43,GLOVO,122%
