,Month,Units sold
0,Jan '19,535
1,Dec '18,509
2,Nov '18,601
3,Oct '18,884
4,Sep '18,1657
5,Aug '18,919
6,Jul '18,1176
7,Jun '18,1491
8,May '18,1553
9,Apr '18,1099
10,Mar '18,1534
11,Feb '18,455
12,Jan '18,564
13,Dec '17,453
14,Nov '17,822
15,Oct '17,1003
16,Sep '17,1581
17,Aug '17,963
18,Jul '17,1588
19,Jun '17,1550
20,May '17,1534
21,Apr '17,1414
22,Mar '17,1666
23,Feb '17,392
24,Jan '17,565
25,Dec '16,574
26,Nov '16,814
27,Oct '16,1216
28,Sep '16,1965
29,Aug '16,1181
30,Jul '16,1838
31,Jun ´16,1852
32,May '16,1741
33,Apr '16,1732
34,Mar '16,1960
35,Feb '16,550
36,Jan '16,617
