,Response,Share of respondents
0,Restaurant/bar/café,42.55%
1,"Retailer (supermarket, mall, electronics store, etc.)",45.48%
2,"Recreation (movie theater, bowling alley, sporting event, etc.)",24.59%
3,"Financial (bank, credit card statement, ATM)",35.27%
4,"Exercise (gym, pool, hiking trail, track, etc.)",19.4%
5,Business office/Place of work,24.87%
6,"Medical (doctor’s office, prescription drugs, hospital)",33.55%
7,"Travel (airport, taxi, ticket, etc.)",20.56%
8,"On a consumer product (on packaging, wrappers, physical hardware, as part of install, etc.)",33.64%
9,Other (please specify),5.61%
