,Year,Inflation rate compared to previous year
0,2025*,3.32%
1,2024*,3.36%
2,2023*,3.43%
3,2022*,3.58%
4,2021*,3.17%
5,2020*,2.55%
6,2019*,0.45%
7,2018,3.23%
8,2017,3.68%
9,2016,1%
10,2015,1.28%
11,2014,3.22%
12,2013,3.54%
13,2012,3.86%
14,2011,6.53%
15,2010,2.92%
16,2009,2.52%
17,2008,9.72%
18,2007,8.83%
19,2006,8.91%
20,2005,4.94%
21,2004,4.71%
22,2003,2.69%
23,2002,6.41%
24,2001,5.39%
25,2000,4.22%
26,1999,6.88%
27,1998,6.81%
28,1997,6.83%
29,1996,6.55%
30,1995,6.03%
31,1994,7.34%
32,1993,15.29%
33,1992,2.86%
34,1991,12.82%
35,1990,10.71%
36,1989,13.61%
37,1988,3.6%
38,1987,0.72%
39,1986,4.34%
40,1985,8.32%
