,Year,Number of imported firearms
0,2019,398663
1,2018,4305851
2,2017,4492256
3,2016,5137771
4,2015,3930211
5,2014,3625268
6,2013,5539539
7,2012,4844590
8,2011,3252404
9,2010,2839947
10,2009,3607106
11,2008,2606386
12,2007,2743993
13,2006,2432522
14,2005,2106675
15,2004,1910859
16,2003,1466502
17,2002,1629237
18,2001,1366896
19,2000,1096782
20,1999,891799
21,1998,999810
22,1997,939415
23,1996,881578
24,1995,1103404
25,1994,1880902
26,1993,3043321
27,1992,2846710
28,1991,720657
29,1990,843809
30,1989,1007781
31,1988,1276268
32,1987,1063513
33,1986,701000
