,Year,Population in millions
0,2020,109.58
1,2019,108.12
2,2018,106.65
3,2017,105.17
4,2016,103.66
5,2015,102.11
6,2014,100.51
7,2013,98.87
8,2012,97.21
9,2011,95.57
10,2010,93.97
11,2009,92.41
12,2008,90.9
13,2007,89.41
14,2006,87.89
15,2005,86.33
16,2004,84.71
17,2003,83.05
18,2002,81.37
19,2001,79.67
20,2000,77.99
21,1999,76.33
22,1998,74.67
23,1997,73.03
24,1996,71.4
25,1995,69.78
26,1994,68.18
27,1993,66.59
28,1992,65.02
29,1991,63.45
30,1990,61.9
31,1989,60.34
32,1988,58.79
33,1987,57.26
34,1986,55.76
35,1985,54.28
36,1984,52.83
37,1983,51.41
38,1982,50.02
39,1981,48.67
40,1980,47.36
41,1979,46.08
42,1978,44.84
43,1977,43.63
44,1976,42.45
45,1975,41.29
46,1974,40.14
47,1973,39.02
48,1972,37.92
49,1971,36.85
50,1970,35.8
51,1969,34.79
52,1968,33.8
53,1967,32.82
54,1966,31.86
55,1965,30.91
56,1964,29.96
57,1963,29.01
58,1962,28.08
59,1961,27.16
60,1960,26.27
61,1959,25.41
62,1958,24.57
63,1957,23.75
64,1956,22.96
65,1955,22.18
66,1954,21.41
67,1953,20.67
68,1952,19.95
69,1951,19.25
70,1950,18.58
71,1949,18.0
72,1948,17.5
73,1947,17.0
74,1946,16.5
75,1945,16.1
76,1944,15.7
77,1943,15.4
78,1942,15.1
79,1941,14.8
80,1940,14.6
81,1939,14.3
82,1938,14.0
83,1937,13.7
84,1936,13.3
85,1935,13.0
86,1934,12.7
87,1933,12.4
88,1932,12.1
89,1931,11.9
90,1930,11.6
91,1929,11.3
92,1928,11.0
93,1927,10.8
94,1926,10.6
95,1925,10.4
96,1924,10.2
97,1923,9.97
98,1922,9.78
99,1921,9.59
100,1920,9.41
101,1919,9.23
102,1918,9.06
103,1917,8.89
104,1916,8.72
105,1915,8.55
106,1914,8.39
107,1913,8.23
108,1912,8.07
109,1911,7.92
110,1910,7.77
111,1909,7.62
112,1908,7.48
113,1907,7.34
114,1906,7.2
115,1905,7.07
116,1904,6.93
117,1903,6.81
118,1902,6.69
119,1901,6.59
120,1900,6.48
121,1899,6.38
122,1898,6.29
123,1897,6.2
124,1896,6.11
125,1895,6.03
126,1894,5.96
127,1893,5.88
128,1892,5.81
129,1891,5.74
130,1890,5.67
131,1889,5.6
132,1888,5.53
133,1887,5.46
134,1886,5.4
135,1885,5.33
136,1884,5.26
137,1883,5.2
138,1882,5.14
139,1881,5.07
140,1880,5.01
141,1879,4.95
142,1878,4.89
143,1877,4.83
144,1876,4.76
145,1875,4.7
146,1874,4.64
147,1873,4.58
148,1872,4.51
149,1871,4.45
150,1870,4.38
151,1869,4.32
152,1868,4.25
153,1867,4.19
154,1866,4.13
155,1865,4.06
156,1864,4.0
157,1863,3.94
158,1862,3.87
159,1861,3.81
160,1860,3.75
161,1859,3.68
162,1858,3.62
163,1857,3.56
164,1856,3.5
165,1855,3.44
166,1854,3.38
167,1853,3.33
168,1852,3.27
169,1851,3.22
170,1850,3.16
171,1849,3.11
172,1848,3.06
173,1847,3.0
174,1846,2.95
175,1845,2.9
176,1844,2.86
177,1843,2.81
178,1842,2.76
179,1841,2.72
180,1840,2.67
181,1839,2.62
182,1838,2.58
183,1837,2.54
184,1836,2.5
185,1835,2.45
186,1834,2.41
187,1833,2.37
188,1832,2.33
189,1831,2.29
190,1830,2.25
191,1829,2.22
192,1828,2.18
193,1827,2.15
194,1826,2.12
195,1825,2.09
196,1824,2.07
197,1823,2.04
198,1822,2.02
199,1821,2.0
200,1820,1.98
201,1819,1.97
202,1818,1.95
203,1817,1.94
204,1816,1.93
205,1815,1.92
206,1814,1.91
207,1813,1.9
208,1812,1.9
209,1811,1.9
210,1810,1.89
211,1809,1.89
212,1808,1.89
213,1807,1.89
214,1806,1.89
215,1805,1.89
216,1804,1.89
217,1803,1.89
218,1802,1.89
219,1801,1.89
220,1800,1.89
